"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","V16"
9273,208,88,0,0,1.19,0,0,0,"PRL","L","RG","XL","0","0",0.0325255299557222
9273,209,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0",0.0190291806252239
9273,210,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0",0.0243038191948654
9273,211,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0",-0.0103479098547995
9273,212,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","1",-0.0345874505417643
9273,213,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0",0.00026201488205115
9273,214,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","1",-0.127096592845849
9273,215,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0",-0.0360383734403395
9273,216,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0",-0.00195103941752589
9273,217,107,0,0,3.38,0,0,0,"SNG","B","RG","MD","2","0",0.143574589689723
9273,218,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","0",-0.106251555801317
9273,219,111,0,0,3.38,0,0,0,"SNG","B","LT","MD","2","0",0.0919061101661094
9273,220,112,0,0,4.078,0,0,0,"SNG","B","LT","LR","0","0",-0.0747463798586298
9273,221,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0",0.11032110257045
9273,222,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","0",0.104640322622253
9273,223,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0",-0.0178641851332267
9273,224,118,0,0,2.74,0,0,0,"SNG","S","LT","MD","2","0",0.131022172640534
9273,225,124,0,0,2.258,0,0,0,"STP","B","RG","MD","0","0",0.10621530945571
9273,226,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0",0.00925153019745663
9273,227,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0",0.10831293044314
9273,228,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0",-0.000946831033688181
9274,230,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0",0.0402961188904365
9274,231,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0",-0.00239306790671637
9274,232,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0",-0.0580142257370145
9274,233,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","2",-0.0411170279736244
9274,234,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0",0.0269330122538202
9274,235,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","2",-0.00425411405892301
9274,236,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0",-0.0406912163719702
9274,237,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","2",0.0103614505473252
9274,238,30,0,3,0.99,0,0,0,"CLF","S","RG","SM","0","0",0.133903370735413
9274,239,31,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
9274,240,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0",0.0258643923454444
9274,241,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0",-0.0655077275041627
9274,242,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0",0.0217320497058753
9274,243,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0",0.00244774070052814
9274,244,37,0,0,3.19,0,0,0,"DWN","B","RG","MD","0","0",-0.0049956882262046
9274,245,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0",-0.0917997890168218
9274,246,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","7","0",-0.051784656608378
9274,247,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0",-0.00234658826657908
9274,248,41,0,0,3.19,0,0,0,"DWN","B","LT","MD","0","0",-0.0545344512328207
9274,249,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0",-0.0772804628843633
9274,250,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0",0.216192355207184
9274,251,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","7","0",-0.00784972073907003
9274,252,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0",0.152049809294178
9274,253,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0",0.0232301550701485
9274,254,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0",-0.0425401621164183
9274,255,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0",-0.0620109272927046
9274,256,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0",0.0120036548187998
9274,257,62,1,0,2.509,1.89,2.39,0.5,"FNT","B","RG","MD","0","0",1.5661368963408
9274,258,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0",-0.0289403037869625
9274,259,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.131026754694197
9274,260,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.0785674239926094
9274,261,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0",0.0462373416295338
9274,262,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0",-0.00623536372402035
9274,263,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0",0.0247852278943168
9274,264,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0",0.0234634968786033
9274,265,88,0,0,1.19,0,0,0,"PRL","L","RG","XL","0","0",0.0325253544468834
9274,266,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0",0.0190290051163851
9274,267,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0",0.0243036436860266
9274,268,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0",-0.0103480853636383
9274,269,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","1",-0.0345876260506031
9274,270,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0",0.000261839373212321
9274,271,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","1",-0.127096768354688
9274,272,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0",-0.0360385489491783
9274,273,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0",-0.00195121492636472
9274,274,107,0,0,3.38,0,0,0,"SNG","B","RG","MD","2","0",0.143574414180885
9274,275,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","0",-0.106251731310156
9274,276,111,0,0,3.38,0,0,0,"SNG","B","LT","MD","2","0",0.0919059346572705
9274,277,112,1,0,4.078,3.19,3.99,0.8,"SNG","B","LT","LR","0","0",2.26645866699557
9274,278,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0",0.110320927061611
9274,279,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","0",0.104640147113414
9274,280,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0",-0.0178643606420655
9274,281,118,0,0,2.74,0,0,0,"SNG","S","LT","MD","2","0",0.131021997131695
9274,282,124,0,0,2.258,0,0,0,"STP","B","RG","MD","0","0",0.106215133946871
9274,283,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0",0.0092513546886178
9274,284,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0",0.108312754934302
9274,285,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0",-0.000947006542527011
9275,287,17,0,0,2.041,0,0,0,"ARM","S","RG","MD","0","0",0.0402959433815976
9275,288,19,0,0,3.102,0,0,0,"ARM","S","RG","LR","0","0",-0.0023932434155552
9275,289,20,0,0,6.178,0,0,0,"BNC","S","RG","XL","0","0",-0.0580144012458533
9275,290,23,0,0,2.821,0,0,0,"BNC","S","RG","MD","0","2",-0.0411172034824633
9275,291,25,0,0,1.69,0,0,0,"BNC","S","ST","SM","0","0",0.0269328367449814
9275,292,26,0,0,2.818,0,0,0,"BNC","S","ST","MD","0","2",-0.00425428956776184
9275,293,27,0,0,3.876,0,0,0,"BNC","S","ST","LR","0","0",-0.040691391880809
9275,294,29,0,0,2.821,0,0,0,"BNC","S","UN","MD","0","2",0.0103612750384864
9275,295,30,0,0,0.99,0,0,0,"CLF","S","RG","SM","0","0",0.114508426033978
9275,296,31,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
