"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature"
9275,326,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9275,327,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9275,328,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0"
9275,329,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0"
9275,330,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0"
9275,331,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0"
9275,332,88,1,0,1.19,1.19,1.19,0,"PRL","L","RG","XL","0","0"
9275,333,89,0,0,1.672,0,0,0,"PRL","L","LT","MD","0","0"
9275,334,91,1,0,4.184,3.99,3.99,0,"PRL","L","RG","XL","0","0"
9275,335,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0"
9275,336,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0"
9275,337,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","2"
9275,338,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0"
9275,339,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","2"
9275,340,104,0,0,3.99,0,0,0,"SNG","B","RG","XL","7","0"
9275,341,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0"
9275,342,107,2,3,3.38,2.34,3.39,1.05,"SNG","B","RG","MD","0","0"
9275,343,108,1,0,4.078,2.99,3.99,1,"SNG","B","RG","LR","0","4"
9275,344,111,0,4,3.38,0,0,0,"SNG","B","LT","MD","0","0"
9275,345,112,0,2,4.078,0,0,0,"SNG","B","LT","LR","0","0"
9275,346,114,0,0,1.273,0,0,0,"SNG","S","RG","SM","0","0"
9275,347,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","1"
