"SKU#","ARSP","brand","form","formula2","size","brandARM","brandBNC","brandCLF","brandDWN","brandFNT","brandGEN","brandPRL","brandSNG","brandSTP","brandTSN","formB","formF","formL","formS","formula2LT","formula2RG","formula2ST","formula2UN","sizeLR","sizeMD","sizeSM","sizeXL","IRIweek","HH_id","price_paid","regular_price","display","feature","d_disp","d_feat","price_cut"
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,626,9857,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,626,9492,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,637,9387,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,633,9733,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,610,9304,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,667,9884,1.99,2.19,"0","0",0,0,0.2
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,667,9379,1.99,2.19,"0","0",0,0,0.2
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,667,9768,1.99,2.19,"0","0",0,0,0.2
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,657,9369,2.19,2.19,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,635,9553,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,615,9511,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,634,9644,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,615,9358,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,667,9800,1.99,2.19,"0","0",0,0,0.2
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,610,9810,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,668,9369,2.19,2.19,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,666,9883,2.19,2.19,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,596,9508,1.99,1.99,"0","0",0,0,0
17,2.041,"ARM","S","RG","MD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,631,9492,1.99,1.99,"0","0",0,0,0
19,3.102,"ARM","S","RG","LR",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,624,9358,2.99,2.99,"0","0",0,0,0
