"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
647,63,0,0,3.457,0,0,0,"FNT","B","RG","LR",0,0,1,"winter",0.0591660543850865
647,65,2,2,1.09,0.99,1.09,0.1,"GEN","B","RG","XL",0,0,1,"winter",1.68571179296896
647,66,1,1,1.09,0.99,1.09,0.1,"GEN","B","RG","XL",0,0,1,"winter",1.59540295638277
647,72,1,1,1.928,1.89,1.89,0,"GEN","S","UN","LR",0,0,1,"winter",1.40942465610929
647,78,0,0,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",0.0416313859422917
647,80,1,1,1.109,1.09,1.09,0,"PRL","B","RG","SM",0,0,1,"winter",1.1357166872547
647,82,2,5,1.49,1.49,1.49,0,"PRL","B","RG","MD",0,0,1,"winter",1.74982852350666
647,88,0,2,1.19,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.403976724200819
647,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.310539561594369
647,91,0,0,4.184,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.250539542832585
647,93,0,0,1.105,0,0,0,"PRL","L","RG","MD",0,0,1,"winter",0.459840944219452
647,95,1,1,3.378,3.49,3.49,0,"PRL","S","RG","XL",0,3,1,"winter",1.3288609123936
647,97,3,1,1.177,0.99,0.99,0,"PRL","S","RG","MD",0,0,1,"winter",1.53515114502806
647,99,1,3,2.072,1.99,1.99,0,"PRL","S","RG","LR",0,0,1,"winter",1.62545797349762
647,103,1,1,1.182,0.99,0.99,0,"PRL","S","UN","MD",0,0,1,"winter",1.31975824552417
647,104,0,1,3.99,0,0,0,"SNG","B","RG","XL",0,0,1,"winter",0.209678048471077
647,106,1,1,1.985,1.99,1.99,0,"SNG","B","RG","SM",0,0,1,"winter",1.41324225038039
647,107,1,1,3.38,3.39,3.39,0,"SNG","B","RG","MD",2,0,1,"winter",1.4862891413345
647,108,2,19,4.078,3.39,3.99,0.6,"SNG","B","RG","LR",0,0,1,"winter",4.61794880960767
647,111,1,1,3.38,3.39,3.39,0,"SNG","B","LT","MD",2,0,1,"winter",1.36309215022746
647,112,0,13,4.078,0,0,0,"SNG","B","LT","LR",0,0,1,"winter",-0.113338037925753
647,114,15,31,1.273,0.99,1.29,0.3,"SNG","S","RG","SM",0,0,1,"winter",3.28735697947993
647,115,1,4,2.875,2.69,2.69,0,"SNG","S","RG","MD",2,0,1,"winter",1.82127862191644
647,116,3,1,3.29,3.29,3.29,0,"SNG","S","RG","LR",0,0,1,"winter",1.18859135917694
647,118,0,0,2.74,0,0,0,"SNG","S","LT","MD",0,0,1,"winter",0.518663849808359
647,124,0,0,2.258,0,0,0,"STP","B","RG","MD",0,0,1,"winter",0.326743093540379
